id;message;target
1;"
Entrada gratuita a 2 concursos semanales para ganar las entradas para la final de la FA Cup el 21 de mayo de 2005. Envía ""FA"" al 87121 para recibir la pregunta de participación (tarifa estándar). Se aplican términos y condiciones. 08452810075 mayores de 18 años";spam
2;"
Tu última historia se realizó hace aproximadamente 2 meses
Hace tiempo que no agregas contenido a tu historia en Facebook.";legit
3;!Por un pais preparado! Desarrolla la siguiente encuesta sobre el simulacro del 30 de mayo: https://bit.ly/encuestaprimersimulacro2025;spam
4;!Preparate ante emergencias! Elabora tu Combo de Supervivencia. Recuerda que esta compuesto por Mochila para Emergencias y Caja de Reserva.;legit
5;"""[CTIC/UNI] 🎥🔴 ¡Webinar Gratuito de Excel Básico! 📣 No te lo pierdas 📣""";spam
6;"""¡Ay, debes estar casi muerto! Bueno, Jez viene a trabajar. ¡Y eso tardará una eternidad!""";legit
7;"""¡Encuentra 5 botanas para el Día del Padre! DESCARGA EL RECETARIO GRATIS.""";spam
8;"""¡Estás ganando S/800 con tu línea! Verifica: [enlace]""";spam
9;"""¡FALTA MUY POCO! Entrenamiento para invertir con Cristian Arens.""";spam
10;"""¡Felicidades! Recibe un ticket para Metro gratis: [enlace]""";spam
11;"""¡Felicitaciones! Tienes una Tarjeta de Crédito Visa BCP esperándote con ANDO. Regístrate en: https://web.yoando.com.pe/TarjetaMayo_4""";spam
12;"""¡Gracias por registrarte en MathWorks! Código de verificación: 954565""";legit
13;"""¡Hola Brayner! Emitimos tu giro por el cierre de tu cuenta Yape. Retira el saldo en cualquier agencia BCP con tu DNI. ¿Dudas? Visita: yape.com.pe""";spam
14;"""¡Hola, futuro inversionista! 👋 Programa Bolsa de Valores con mentoría.""";spam
15;"""¡Impulsa tu carrera con un 20% de descuento! Aprovecha esta oportunidad limitada en cursos de la Bolsa de Trabajo UNI – OTI.""";legit
16;"""¡Obra de teatro """"Notworking"""" en Larcomar! 🎭 Consigue tus entradas 👉 aquí""";legit
17;"""¡Obtén hasta $100 en tu primer depósito! 💰Invierte en BOLSA desde Latam. 🔥""";spam
18;"""¡Tienes un paquete listo para recoger! Confirma aquí: [enlace]""";spam
19;"""¡Urgente! Reclama el subsidio por emergencia. Aquí: [enlace]""";spam
